"x";"y";"moran";"distance";"entropy";"slope"
"357";1;101;NA;NA;NA;NA
"358";51;101;NA;NA;NA;NA
"359";101;101;NA;NA;NA;NA
"360";151;101;NA;NA;NA;NA
"361";201;101;NA;NA;NA;NA
"362";251;101;NA;NA;NA;NA
"363";301;101;NA;NA;NA;NA
"364";351;101;NA;NA;NA;NA
"365";401;101;NA;NA;NA;NA
"366";451;101;NA;NA;NA;NA
"367";501;101;NA;NA;NA;NA
"368";551;101;NA;NA;NA;NA
"369";601;101;NA;NA;NA;NA
"370";651;101;NA;NA;NA;NA
"371";701;101;NA;NA;NA;NA
"372";751;101;NA;NA;NA;NA
"373";801;101;NA;NA;NA;NA
"374";851;101;NA;NA;NA;NA
"375";901;101;NA;NA;NA;NA
"376";951;101;NA;NA;NA;NA
"377";1001;101;NA;NA;NA;NA
"378";1051;101;NA;NA;NA;NA
"379";1101;101;NA;NA;NA;NA
"380";1151;101;NA;NA;NA;NA
"381";1201;101;NA;NA;NA;NA
"382";1251;101;NA;NA;NA;NA
"383";1301;101;NA;NA;NA;NA
"384";1351;101;NA;NA;NA;NA
"385";1401;101;NA;NA;NA;NA
"386";1451;101;NA;NA;NA;NA
"387";1501;101;NA;NA;NA;NA
"388";1551;101;NA;NA;NA;NA
"389";1601;101;NA;NA;NA;NA
"390";1651;101;NA;NA;NA;NA
"391";1701;101;NA;NA;NA;NA
"392";1751;101;NA;NA;NA;NA
"393";1801;101;NA;NA;NA;NA
"394";1851;101;NA;NA;NA;NA
"395";1901;101;NA;NA;NA;NA
"396";1951;101;NA;NA;NA;NA
"397";2001;101;NA;NA;NA;NA
"398";2051;101;NA;NA;NA;NA
"399";2101;101;NA;NA;NA;NA
"400";2151;101;NA;NA;NA;NA
"401";2201;101;NA;NA;NA;NA
"402";2251;101;NA;NA;NA;NA
"403";2301;101;NA;NA;NA;NA
"404";2351;101;NA;NA;NA;NA
"405";2401;101;NA;NA;NA;NA
"406";2451;101;NA;NA;NA;NA
"407";2501;101;NA;NA;NA;NA
"408";2551;101;NA;NA;NA;NA
"409";2601;101;NA;NA;NA;NA
"410";2651;101;NA;NA;NA;NA
"411";2701;101;NA;NA;NA;NA
"412";2751;101;NA;NA;NA;NA
"413";2801;101;NA;NA;NA;NA
"414";2851;101;NA;NA;NA;NA
"415";2901;101;NA;NA;NA;NA
"416";2951;101;NA;NA;NA;NA
"417";3001;101;NA;NA;NA;NA
"418";3051;101;NA;NA;NA;NA
"419";3101;101;NA;NA;NA;NA
"420";3151;101;NA;NA;NA;NA
"421";3201;101;NA;NA;NA;NA
"422";3251;101;NA;NA;NA;NA
"423";3301;101;NA;NA;NA;NA
"424";3351;101;NA;NA;NA;NA
"425";3401;101;NA;NA;NA;NA
"426";3451;101;NA;NA;NA;NA
"427";3501;101;NA;NA;NA;NA
"428";3551;101;NA;NA;NA;NA
"429";3601;101;NA;NA;NA;NA
"430";3651;101;NA;NA;NA;NA
"431";3701;101;NA;NA;NA;NA
"432";3751;101;NA;NA;NA;NA
"433";3801;101;NA;NA;NA;NA
"434";3851;101;NA;NA;NA;NA
"435";3901;101;NA;NA;NA;NA
"436";3951;101;NA;NA;NA;NA
"437";4001;101;NA;NA;NA;NA
"438";4051;101;NA;NA;NA;NA
"439";4101;101;NA;NA;NA;NA
"440";4151;101;NA;NA;NA;NA
"441";4201;101;NA;NA;NA;NA
"442";4251;101;NA;NA;NA;NA
"443";4301;101;NA;NA;NA;NA
"444";4351;101;NA;NA;NA;NA
"445";4401;101;NA;NA;NA;NA
"446";4451;101;NA;NA;NA;NA
"447";4501;101;NA;NA;NA;NA
"448";4551;101;NA;NA;NA;NA
"449";4601;101;NA;NA;NA;NA
"450";4651;101;NA;NA;NA;NA
"451";4701;101;NA;NA;NA;NA
"452";4751;101;NA;NA;NA;NA
"453";4801;101;NA;NA;NA;NA
"454";4851;101;NA;NA;NA;NA
"455";4901;101;NA;NA;NA;NA
"456";4951;101;NA;NA;NA;NA
"457";5001;101;NA;NA;NA;NA
"458";5051;101;NA;NA;NA;NA
