IRIS;com;DEP;NBUC02;RFUCQ102;RFUCQ202;RFUCQ302;RFUCIQ02;RFUCD102;RFUCD202;RFUCD302;RFUCD402;RFUCD602;RFUCD702;RFUCD802;RFUCD902;RFUCRD02;RFUCET02;RFUCMO02;RFUCGI02
751083104;75056;75;611,0;15547;29294;46897;31350;;;;;;;;;;;;
751083105;75056;75;896,5;17963;32776;60340;42377;;;;;;;;;;;;
751083106;75056;75;1008,8;17214;33333;55767;38553;;;;;;;;;;;;
751083107;75056;75;272,5;15296;29505;51808;36512;;;;;;;;;;;;
751083108;75056;75;277,5;14363;24258;40552;26189;;;;;;;;;;;;
751083201;75056;75;1418,5;17685;31308;53066;35382;9038;14944;21150;25963;37340;47382;58395;90235;10,0;51025,66;44042,54;0,4662
751083202;75056;75;1344,1;17722;35490;59727;42005;8838;14714;20625;29253;43067;53249;67799;100185;11,3;80549,75;50942,19;0,5066
751083203;75056;75;1159,0;17868;36656;72069;54201;9393;15587;21067;27942;46172;59767;84622;134912;14,4;158138,98;69450,37;0,5899
751083204;75056;75;1727,9;19170;34775;60235;41065;10496;16107;21609;28144;42391;51485;67575;101504;9,7;86866,61;53118,27;0,5061
751083205;75056;75;2131,5;18902;33337;53469;34567;8150;15482;22069;27743;40470;48920;57815;77648;9,5;42177,26;42705,83;0,4333
751083206;75056;75;1945,5;15970;28050;42741;26771;7600;12816;18171;23222;32730;39784;46721;60899;8,0;29517,48;33376,01;0,4002
751083207;75056;75;1493,1;17477;30778;49761;32284;7768;14927;19899;24614;36641;44672;55683;73388;9,4;80012,68;40679,85;0,4559
751083208;75056;75;425,4;22996;35003;48138;25142;;;;;;;;;;;;
751083209;75056;75;786,7;17430;31888;56923;39493;;;;;;;;;;;;
751083210;75056;75;683,1;18048;43218;78499;60451;;;;;;;;;;;;
751093301;75056;75;1164,4;12991;25065;38933;25942;6722;11201;14745;19889;30369;35765;43934;57873;8,6;62743,42;32273,01;0,4503
751093302;75056;75;1288,1;16149;28666;47696;31547;8596;13859;18265;23575;35473;42647;54656;73835;8,6;58951,74;40762,43;0,4716
751093303;75056;75;1379,9;16303;28679;46492;30190;7306;13354;19316;23663;34102;42731;53268;69832;9,6;35940,36;36228,77;0,4253
751093304;75056;75;1644,9;18135;30104;47265;29130;8164;15439;20768;25790;36294;42693;52058;70718;8,7;42977,13;38588,06;0,4231
751093305;75056;75;1449,4;16537;28712;46483;29946;8081;14081;18729;23349;33740;41874;51001;66319;8,2;43645,17;36646,10;0,4344
751093306;75056;75;1715,9;13924;25002;40844;26920;5987;11338;16214;20907;30583;36602;44856;60009;10,0;31162,33;31932,75;0,4329
751093307;75056;75;2356,8;14349;26044;41743;27394;6841;12433;16793;21128;31739;37821;45838;61550;9,0;39265,47;33432,37;0,4378
751093308;75056;75;1518,9;8037;19024;33437;25400;3107;6379;9809;14602;23596;30155;36692;49455;15,9;24275,18;24175,85;0,4679
751093309;75056;75;1397,1;15684;27656;42749;27066;8293;13087;17645;21651;32824;38432;48669;64725;7,8;30318,30;33431,39;0,4059
751093310;75056;75;1218,3;16203;27732;41608;25405;7712;13677;18593;22521;32791;38940;48845;69318;9,0;38252,01;36258,51;0,4382
751093311;75056;75;373,4;8064;19960;31389;23325;;;;;;;;;;;;
751093401;75056;75;;;;;;;;;;;;;;;;;
751093402;75056;75;;;;;;;;;;;;;;;;;
751093403;75056;75;795,4;15969;28750;50962;34994;;;;;;;;;;;;
751093404;75056;75;;;;;;;;;;;;;;;;;
751093405;75056;75;275,5;10640;21702;34298;23658;;;;;;;;;;;;
751093406;75056;75;;;;;;;;;;;;;;;;;
751093407;75056;75;682,9;15235;26605;39808;24573;;;;;;;;;;;;
751093408;75056;75;421,7;10410;21045;32058;21648;;;;;;;;;;;;
751093409;75056;75;331,5;14091;23995;40051;25960;;;;;;;;;;;;
751093501;75056;75;2122,3;10523;21428;35473;24950;4629;8607;12542;16610;26597;33071;39349;51819;11,2;26525,50;26908,12;0,4447
751093502;75056;75;1358,5;10487;22188;36338;25851;;;;;;;;;;;;
751093503;75056;75;2728,7;11451;22352;36204;24753;4876;9150;13348;17758;27404;33062;40549;55218;11,3;33571,78;28867,26;0,4555
751093504;75056;75;1123,6;9135;18992;33306;24171;;;;;;;;;;;;
751093601;75056;75;1579,9;12900;23317;38381;25481;5945;10897;15343;19453;28349;34925;42247;53082;8,9;20604,80;27726,69;0,3876
751093602;75056;75;2046,7;10149;19826;31593;21444;4740;8128;12094;15575;24058;29104;35904;47003;9,9;27328,09;24199,15;0,4259
751093603;75056;75;1224,0;10800;19955;30593;19793;4761;8875;12521;16291;24040;28428;33555;46449;9,8;31995,67;24972,03;0,4400
751093604;75056;75;1413,3;11620;21156;34421;22801;5592;9574;13702;17096;26389;31558;38755;51696;9,2;23282,20;26559,18;0,4187
751093605;75056;75;1675,3;13481;22654;33943;20462;5910;10765;15596;19061;27181;31328;37704;48343;8,2;24410,04;27097,77;0,3993
751093606;75056;75;1509,6;15314;25741;38580;23266;7728;13107;17734;22033;30479;35827;43243;54416;7,0;24301,63;30553,85;0,3822
751093607;75056;75;1624,2;12380;23082;35359;22979;5671;10431;14421;18579;26795;31963;38339;48271;8,5;23450,87;27045,86;0,4041
751093608;75056;75;1790,5;14217;25078;39706;25489;7212;12367;16512;20768;30857;35685;44694;65532;9,1;34742,91;33554,08;0,4496
751093609;75056;75;1621,7;12679;23414;37029;24350;6467;10764;14657;19199;28302;34176;41341;55895;8,6;96300,18;30685,90;0,4499
751093610;75056;75;1713,8;9750;20802;33403;23653;4047;7677;12492;16350;24204;29951;36840;47067;11,6;20817,57;24223,33;0,4198
751103701;75056;75;1660,5;9417;17945;28903;19486;4310;7875;11358;14492;21823;26525;32607;42639;9,9;17001,58;21193,74;0,4052
751103702;75056;75;1366,6;8455;16846;26908;18453;3674;6572;9955;13758;21040;24746;30171;38419;10,5;14130,70;19408,08;0,3957
751103703;75056;75;1707,1;9125;18016;29113;19988;4619;7817;10490;13963;21905;26304;31485;42459;9,2;19006,64;21754,27;0,4157
751103704;75056;75;1985,9;11203;21208;36446;25243;4650;8643;13500;16644;26383;32591;39589;50528;10,9;23263,09;26029,00;0,4224
751103705;75056;75;1740,3;12571;23765;36473;23902;6309;10518;15178;19413;28685;33968;40056;53188;8,4;26144,07;28709,63;0,4127
751103706;75056;75;1833,0;11319;21685;33912;22593;4972;8363;13785;17632;25049;30150;37405;47053;9,5;19645,91;24902,06;0,4013
751103707;75056;75;1524,4;7988;17275;27759;19771;4290;6820;9272;13273;20688;25384;30938;39724;9,3;33789,00;20403,46;0,4271
751103708;75056;75;1307,6;10707;19787;29384;18677;5068;8798;12505;16534;22945;27632;31938;38832;7,7;14308,54;21375,35;0,3609
751103709;75056;75;1437,7;8114;15544;25195;17081;4169;6766;9652;12656;19367;22773;27520;33629;8,1;14070,64;18153,33;0,3841
751103711;75056;75;;;;;;;;;;;;;;;;;
751103712;75056;75;435,1;13333;22018;34037;20704;;;;;;;;;;;;
751103801;75056;75;1480,6;7356;15678;27655;20299;4113;6193;8737;11810;19658;24542;31321;39857;9,7;16659,96;19573,08;0,4282
751103802;75056;75;1411,6;5056;9556;21295;16239;2903;4450;5963;7548;13170;18189;25475;35625;12,3;15095,60;15351,99;0,4878
751103803;75056;75;2246,9;7941;16677;29948;22007;3415;6203;9593;12934;21190;26584;33569;45660;13,4;23286,27;22210,72;0,4671
751103804;75056;75;2302,1;6869;16131;28450;21581;3084;5807;8265;12008;20629;25432;32158;41785;13,5;17282,61;20075,65;0,4487
751103805;75056;75;1612,3;8229;18504;30893;22664;3122;6674;9964;14221;22635;28089;34520;43608;14,0;22820,09;22175,88;0,4415
751103806;75056;75;2408,5;10592;21138;35062;24471;5020;8728;12444;16790;25875;32017;38540;49527;9,9;24782,93;25776,01;0,4267
751103901;75056;75;1352,4;11744;21506;33192;21448;5860;9588;13784;17523;25980;30586;36215;46319;7,9;38344,29;26959,69;0,4358
