IRIS;COM;DEP;NBUC11;RFUCQ111;RFUCQ211;RFUCQ311;RFUCIQ11;RFUCD111;RFUCD211;RFUCD311;RFUCD411;RFUCD611;RFUCD711;RFUCD811;RFUCD911;RFUCRD11;RFUCET11;RFUCGI11
751072506;75056;75;2012,9;22867;44207;89734;66867;11253;19346;27168;35656;58331;79538;105828;178535;15,9;221429,30;0,6236
751072508;75056;75;;;;;;;;;;;;;;;;
751072601;75056;75;1453,1;26063;44591;96980;70917;13500;21414;29428;36206;55574;80274;118865;239795;17,8;233957,58;0,6452
751072602;75056;75;1038,2;21515;46027;90782;69267;;;;;;;;;;;
751072603;75056;75;642,6;22651;41861;85136;62485;;;;;;;;;;;
751072604;75056;75;957,5;24011;49842;102755;78744;;;;;;;;;;;
751072605;75056;75;;;;;;;;;;;;;;;;
751072606;75056;75;;;;;;;;;;;;;;;;
751072701;75056;75;2130,9;20164;38537;65134;44970;9322;16294;22998;30143;47969;58026;78118;123156;13,2;97177,04;0,5298
751072702;75056;75;1240,4;22988;43264;76729;53741;10875;19086;25658;32982;53043;65781;91124;144093;13,2;75035,01;0,4985
751072703;75056;75;1224,2;28731;53415;95070;66339;14661;23275;34205;44888;66682;81289;104695;150040;10,2;99228,42;0,4757
751072704;75056;75;1097,8;25140;44952;80831;55691;10408;21380;28733;34949;57726;71142;98238;162826;15,6;103791,57;0,5360
751072705;75056;75;1480,6;26773;52086;101501;74728;13755;23327;31439;41053;69296;89825;125071;214245;15,6;208552,68;0,6132
751072706;75056;75;1275,8;22720;38056;69074;46354;13653;20851;25215;30212;47610;60318;86881;158730;11,6;153492,56;0,5959
751072707;75056;75;;;;;;;;;;;;;;;;
751072801;75056;75;1596,1;24966;42790;63223;38257;12524;21562;28823;36069;50163;58342;70639;96383;7,7;95146,72;0,4592
751072802;75056;75;1195,9;22809;39949;65329;42520;12711;19464;25844;32420;47802;56872;73989;111277;8,8;111540,08;0,5302
751072803;75056;75;1225,3;18325;31895;53833;35509;8820;15375;20931;25810;38982;47849;63479;99148;11,2;66912,04;0,4988
