evolution$generation,growthRate,gravityWeight,gravityGamma,gravityDecay,feedbackWeight,feedbackGamma,feedbackDecay,logmse
4994,0.012340553442790551,1.7052188370935274E-4,3.1366726882269087,20000.0,0.09074176781527171,9.999999999935278,0.01,31.215793175001163
4994,0.012340553344251498,1.705218871312898E-4,3.1366725504846817,19999.999999639625,0.0907418110218702,9.99999999996584,0.01,31.215793175001163
4994,0.012340553148677852,1.705218962694098E-4,3.136672996319092,19999.999999822885,0.09074176468842547,9.999999999987706,0.01,31.215793175001163
4994,0.012340552978293456,1.7052190417611097E-4,3.1366718925930384,19999.999999861044,0.09074180086049728,9.999999999976666,0.01,31.215793175001163
4994,0.01234055326873526,1.7052189164228318E-4,3.1366726581477296,19999.99999990836,0.09074182600395612,10.0,0.01,31.215793175001163
4994,0.012340553372443903,1.7052188632778794E-4,3.1366719588856444,19999.999999778316,0.0907417493387028,10.0,0.01,31.215793175001163
4994,0.012340553084810087,1.705219022455866E-4,3.1366716908059407,19999.999999828207,0.09074182599843027,9.999999999999295,0.01,31.215793175001163
4994,0.012340553392444232,1.7052188797315364E-4,3.1366725164251608,20000.0,0.09074181309511181,9.999999999861963,0.01,31.215793175001163
4994,0.012340553380118772,1.7052188808817616E-4,3.136672494981966,20000.0,0.09074185922073766,9.999999999974438,0.01,31.215793175001163
4994,0.012340553281851385,1.7052189143781135E-4,3.136672846650439,19999.999999814445,0.09074177799680151,9.999999999791761,0.01,31.215793175001163
4994,0.012340553393644503,1.7052188923297496E-4,3.1366723074578875,19999.99999983246,0.0907417954614545,9.999999999892724,0.01,31.215793175001163
4994,0.012340553048130778,1.7052190000761743E-4,3.1366720818549,20000.0,0.09074179786045279,10.0,0.01,31.215793175001163
4994,0.012340553294431926,1.7052189087919377E-4,3.1366718555179056,19999.999999651933,0.09074187899139667,9.999999999928857,0.01,31.215793175001163
